episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
547,rainy_normal,3626,85,0.183,0.392,853
548,rainy_normal,3609,88,-0.038,0.486,844
549,rainy_peak,3630,90,0.055,0.439,856
550,low_traffic,3617,108,0.002,0.331,917
551,rainy_peak,3622,89,0.272,0.495,826
552,low_traffic,3625,102,-0.033,0.37,943
553,low_traffic,3656,107,-0.408,0.351,964
554,rainy_normal,3603,75,0.646,0.464,866
555,low_traffic,3606,112,-0.124,0.361,980
556,peak_hour,3648,96,0.266,0.362,985
557,rainy_normal,3605,83,0.37,0.474,811
558,cloudy_normal,3618,99,0.076,0.39,912
559,cloudy_normal,3661,99,0.005,0.377,933
560,rainy_normal,3615,89,0.152,0.438,892
561,rainy_normal,3645,82,0.495,0.382,866
562,cloudy_normal,3621,102,0.021,0.369,946
563,cloudy_normal,3611,100,-0.003,0.309,878
564,rainy_normal,3604,88,0.241,0.37,827
565,cloudy_normal,3641,99,0.132,0.335,921
566,low_traffic,3604,108,-0.204,0.355,915
567,cloudy_normal,3637,103,0.09,0.328,868
568,normal,3605,107,-0.124,0.309,907
569,low_traffic,3638,107,-0.063,0.349,905
570,low_traffic,3610,110,-0.06,0.32,943
571,peak_hour,3625,109,-0.057,0.333,867
572,cloudy_normal,3646,118,-0.382,0.333,888
573,cloudy_normal,3615,104,-0.103,0.357,1037
574,peak_hour,3626,111,-0.113,0.333,929
575,cloudy_normal,3607,105,0.206,0.365,969
576,low_traffic,3639,102,-0.012,0.333,989
577,rainy_normal,3637,75,0.459,0.378,897
578,peak_hour,3630,98,0.059,0.345,903
579,rainy_peak,3622,76,0.782,0.378,839
580,rainy_peak,3637,88,0.624,0.364,883
581,low_traffic,3618,107,-0.354,0.336,916
582,normal,3618,98,-0.029,0.364,972
583,rainy_peak,3606,83,0.366,0.384,785
584,rainy_peak,3640,85,0.416,0.363,877
585,low_traffic,3602,97,0.14,0.37,910
586,rainy_peak,3604,89,0.272,0.381,820
587,normal,3600,108,-0.052,0.296,829
588,low_traffic,3609,99,-0.022,0.335,954
